urd,K,u,v,dvdu
600,1667,0.33713,0.36051,-113.8
575,1739,0.32920,0.36038,-40.41
550,1818,0.32119,0.36011,-23.2
525,1905,0.31310,0.35968,-15.56
500,2000,0.30496,0.35906,-11.29
475,2105,0.29676,0.35822,-8.572
450,2222,0.28854,0.35713,-6.711
425,2353,0.28032,0.35575,-5.365
400,2500,0.27210,0.35405,-4.355
375,2667,0.26394,0.35198,-3.576
350,2857,0.25585,0.34948,-2.96
325,3077,0.24787,0.34653,-2.465
300,3333,0.24005,0.34305,-2.061
275,3636,0.23243,0.33901,-1.728
250,4000,0.22507,0.33436,-1.45
225,4444,0.21804,0.32906,-1.216
200,5000,0.21140,0.32309,-1.017
175,5714,0.20523,0.31645,-0.8484
150,6667,0.19960,0.30918,-0.7043
125,8000,0.19461,0.30139,-0.5817
100,10000,0.19031,0.29325,-0.4787
90,11111,0.18879,0.28995,-0.4426
80,12500,0.18739,0.28666,-0.4094
70,14286,0.18611,0.28340,-0.379
60,16667,0.18494,0.28020,-0.3515
50,20000,0.18388,0.27708,-0.3267
40,25000,0.18293,0.27407,-0.3047
30,33333,0.18208,0.27118,-0.2854
20,50000,0.18132,0.26845,-0.2687
10,100000,0.18065,0.26589,-0.2548
0,1.00E+20,0.18006,0.26352,-0.2434
